chr	pos	strand	Zm_shoot_1	Zm_shoot_2	Zm_root_1	Zm_root_2
1	1051828	-	0	0	0	1
1	1148463	-	0	0	1	1
1	1148464	-	0	0	2	1
1	1152821	-	0	0	0	1
1	1165885	-	0	0	0	1
1	1168811	-	0	0	1	0
1	1168812	-	0	0	0	1
1	1168891	-	0	0	1	0
1	1196560	+	0	1	0	0
1	1200049	-	0	1	0	0
1	1202614	-	0	0	2	0
1	1211000	+	0	0	0	1
1	1214269	-	0	0	2	0
1	1225267	-	1	0	1	1
1	1225268	-	2	3	16	3
1	1225332	-	0	0	1	0
1	1238227	+	0	0	0	1
1	1304150	+	0	0	2	0
1	1308692	+	0	2	0	0
1	1381244	+	0	0	2	0
1	1419577	-	0	0	1	0
1	1421093	-	0	0	1	0
1	1464432	+	0	0	1	0
1	1465436	-	0	0	0	1
1	1483818	+	0	0	2	0
1	1484159	+	0	0	1	0
1	1485397	-	0	0	4	3
1	1565167	-	0	0	0	1
1	1565828	-	0	0	2	0
1	1621170	+	0	1	1	0
1	1625715	+	0	1	0	0
1	1643332	-	0	0	3	0
1	1662766	+	0	0	0	1
1	1663161	-	0	0	2	0
1	1663227	+	0	0	0	1
1	1663566	+	3	0	0	0
1	1778442	+	0	0	0	2
1	1779558	+	2	0	0	0
1	1787191	-	0	0	1	0
1	1787394	-	0	0	1	0
1	1787443	-	0	0	0	1
1	1802419	+	0	0	1	2
1	1851042	-	0	0	1	0
1	1875513	+	0	0	1	2
1	1875695	-	0	0	0	1
1	1897833	-	1	0	0	0
1	1953787	+	0	0	0	1
1	1960168	+	0	2	0	0
1	1961129	+	1	0	0	0
1	1961264	-	0	0	0	1
1	1961426	+	0	0	0	1
1	1961889	-	0	1	0	0
1	1965378	+	0	0	1	0
1	1965860	+	0	1	0	0
1	1966833	-	0	0	1	0
1	1967101	-	0	0	0	1
1	1967209	-	0	0	1	0
1	1967576	-	0	0	1	0
1	1967626	-	1	0	0	0
1	1967852	-	0	0	0	1
1	1969759	-	0	0	0	1
1	1981673	+	0	0	33	9
1	2008387	+	0	0	1	0
1	2008390	+	0	0	2	1
1	2030374	-	0	0	0	1
1	2036712	+	2	0	0	0
1	2037019	+	0	0	0	1
1	2037060	-	1	0	0	0
1	2037157	+	0	1	0	0
1	2037240	+	0	0	2	1
1	2037256	+	0	1	0	0
1	2037453	+	0	0	0	1
1	2037456	+	0	0	1	0
1	2041911	-	0	1	0	0
1	2042977	-	0	0	0	1
1	2044602	-	0	0	0	1
1	2044603	-	1	0	0	0
1	2087642	-	0	1	0	0
1	2101830	+	0	0	1	2
1	2102221	-	0	0	0	1
1	2102334	-	0	0	1	0
1	2102356	-	0	0	1	0
1	2102359	-	0	0	3	1
1	2156095	-	0	0	1	0
1	2157407	-	0	3	0	1
1	2157744	-	0	0	1	2
1	2204556	+	0	0	0	1
1	2207030	+	0	0	4	5
1	2213734	-	0	0	0	1
1	2216668	-	0	0	0	1
1	2235622	+	0	0	3	0
1	2256724	-	0	0	20	8
1	2275873	-	0	0	0	1
1	2286105	+	0	1	0	0
1	2301912	-	0	0	1	0
1	2304610	+	0	0	2	0
1	2304685	+	0	0	0	1
1	2305065	+	0	0	1	0
1	2305370	-	0	0	0	1
1	2305480	-	0	0	0	1
1	2305557	+	0	0	1	0
1	2306080	-	0	0	0	1
1	2339743	+	0	0	0	1
1	2343730	-	0	0	1	2
1	2382260	-	0	1	0	0
1	2425897	+	0	0	1	0
1	2426056	+	1	3	3	4
1	2426214	+	0	0	2	0
1	2426793	-	0	1	0	0
1	2430251	+	0	0	0	2
1	2431090	+	0	0	1	0
1	2455669	+	0	0	1	0
1	2458196	-	0	0	0	1
1	2464659	+	0	1	0	0
1	2465128	+	0	0	1	0
1	2467344	-	0	0	1	0
1	2467373	-	0	0	4	1
1	2467374	-	0	0	2	0
1	2539846	+	0	0	0	1
1	2539849	+	0	0	2	0
1	2539936	+	0	0	1	5
1	2539982	-	0	1	0	0
1	2559620	-	0	0	0	1
1	2559623	-	0	0	0	1
1	2565582	+	0	0	1	0
1	2655513	+	0	0	1	0
1	2690155	-	1	0	0	0
1	2728447	+	0	0	1	0
1	2737831	-	0	0	0	1
1	2738565	-	0	0	1	0
1	2738847	-	0	0	5	0
1	2739651	-	0	0	1	0
1	2744817	-	0	2	0	0
1	2745025	+	1	0	0	0
1	2746275	-	1	0	0	0
1	2746855	-	0	0	0	1
1	2781818	+	0	0	1	0
1	2781821	+	0	0	0	1
1	2791397	-	0	0	1	0
1	2797087	-	0	0	0	1
1	2799387	-	0	0	0	1
1	2800387	-	0	0	1	0
1	2800622	-	0	0	1	0
1	2801245	-	0	0	0	1
1	2801266	-	1	0	0	0
1	2839437	+	0	1	0	0
1	2839845	+	0	0	0	1
1	2858212	+	0	0	1	0
1	2859204	+	1	0	0	0
1	2869348	+	0	0	1	0
1	2872660	-	0	0	0	1
1	2875978	-	0	0	3	1
1	2883377	+	0	0	0	1
1	2884908	-	0	0	0	1
1	2949720	+	0	0	0	1
1	2949725	-	0	0	1	0
1	2949780	+	0	1	0	0
1	2993470	-	0	1	0	0
1	2993473	-	1	0	1	2
1	2997556	+	1	0	1	0
1	3002297	+	0	0	0	1
1	3005318	+	0	0	2	0
1	3013840	+	0	0	1	0
1	3015742	+	0	0	1	0
1	3017498	+	0	0	1	0
1	3017520	+	0	0	4	0
1	3019087	+	0	1	0	0
1	3021595	-	1	2	0	0
1	3022349	+	0	0	1	0
1	3022514	+	1	9	5	1
1	3022991	+	1	0	0	0
1	3026716	+	0	0	1	0
1	3033212	+	0	0	0	1
1	3033307	+	0	0	2	0
1	3033520	+	1	2	0	0
1	3049440	-	0	0	49	52
1	3066691	-	0	1	0	0
1	3071411	-	0	0	0	1
1	3071700	-	0	0	0	1
1	3071872	-	0	0	0	2
1	3072057	-	0	0	5	0
1	3072076	-	0	0	1	0
1	3072077	-	0	0	1	0
1	3073011	-	0	1	0	0
1	3073040	-	0	0	0	1
1	3073388	-	0	1	0	0
1	3074298	-	0	0	1	0
1	3074608	-	0	0	1	0
1	3074662	-	0	0	1	0
1	3074697	-	0	0	1	0
1	3091007	-	0	1	0	0
1	3092125	-	0	0	1	0
1	3123198	+	0	0	1	1
1	3127445	-	1	10	0	1
1	3128418	+	0	1	0	0
1	3132565	-	1	0	0	1
1	3159293	-	0	0	1	0
1	3170084	+	0	0	0	1
1	3189024	-	1	0	0	1
1	3189481	-	0	0	0	1
1	3189961	+	0	0	1	0
1	3190408	-	0	2	0	0
1	3193616	-	0	0	0	1
1	3265331	+	1	0	0	0
1	3266307	-	6	39	0	1
1	3266308	-	0	2	0	0
1	3273688	+	0	0	0	1
1	3274980	+	0	2	0	0
1	3275069	+	0	0	1	0
1	3279517	+	0	0	0	1
1	3280074	+	0	0	2	1
1	3348696	-	0	0	1	0
1	3348996	-	7	11	0	0
1	3355153	-	0	0	1	0
1	3360290	-	0	0	1	0
1	3363984	-	0	1	0	0
1	3366097	+	0	0	8	10
1	3398708	-	0	0	0	1
1	3401596	-	1	0	0	0
1	3402246	+	0	0	4	1
1	3427502	+	0	0	4	1
1	3431501	-	0	0	1	0
1	3431586	-	0	0	1	0
1	3441533	-	0	0	0	1
1	3461202	+	0	1	0	0
1	3462378	+	0	0	0	1
1	3462392	+	0	0	0	1
1	3462399	+	0	0	2	1
1	3462415	+	0	0	2	3
1	3462483	+	0	0	0	4
1	3462524	+	0	0	1	0
1	3462527	+	0	1	0	0
1	3462539	+	0	0	11	4
1	3462542	+	0	0	3	0
1	3462640	+	0	0	4	0
1	3462865	+	1	0	7	3
1	3463442	+	0	0	1	0
1	3463768	+	0	0	0	1
1	3463772	+	0	0	1	0
1	3463799	+	0	0	0	3
1	3463835	+	0	0	1	0
1	3468555	-	0	0	5	1
1	3492313	-	0	0	1	0
1	3524971	+	0	0	0	1
1	3548424	-	0	0	0	2
1	3549547	-	0	0	1	0
1	3566377	-	0	0	0	1
1	3614839	+	0	0	2	0
1	3643593	+	0	1	0	0
1	3644461	+	0	0	1	1
1	3645445	-	1	0	0	0
1	3697254	+	0	0	1	0
1	3697377	+	0	0	1	1
1	3697478	-	0	0	0	1
1	3702661	+	0	0	1	0
1	3703513	+	0	0	1	0
1	3708336	-	0	0	2	1
1	3727033	-	1	0	0	0
1	3730033	+	0	0	1	0
1	3731472	+	0	2	0	0
1	3731542	+	1	0	0	0
1	3731548	+	0	0	0	2
1	3731680	-	0	0	0	1
1	3733030	-	0	0	0	1
1	3739881	-	0	0	0	1
1	3739882	-	1	0	0	0
1	3872103	+	0	1	0	2
1	3872109	+	0	0	1	0
1	3872163	+	0	0	2	0
1	3872190	+	0	0	0	2
1	3872526	-	3	13	11	7
1	3876072	-	0	0	1	0
1	3880257	+	1	0	0	0
1	3882921	-	0	0	1	0
1	3907492	-	0	0	5	0
1	4012342	-	0	2	0	0
1	4012551	+	0	1	0	0
1	4012614	-	0	0	0	1
1	4033939	-	0	4	0	0
1	4036639	+	0	0	1	0
1	4046900	+	0	0	0	1
1	4047193	-	0	0	1	0
1	4047300	-	0	0	0	2
1	4047721	-	0	0	11	5
1	4047737	-	0	0	0	1
1	4048859	-	0	0	1	0
1	4054506	-	1	0	0	0
1	4055884	-	0	0	0	1
1	4055938	-	0	0	0	1
1	4055967	-	0	0	1	0
1	4056004	-	0	0	0	2
1	4061056	+	0	0	1	0
1	4063217	-	0	0	1	0
1	4063252	-	0	1	0	0
1	4063369	-	0	0	2	0
1	4063370	-	0	5	2	1
1	4063371	-	0	13	13	4
1	4063372	-	2	0	11	2
1	4063384	-	0	2	0	0
1	4063403	-	0	2	0	1
1	4063420	-	0	0	2	0
1	4073519	-	0	0	1	0
1	4090165	+	0	0	0	1
1	4090212	+	0	1	0	0
1	4090267	-	0	0	1	0
1	4090317	+	0	0	237	173
1	4090329	+	0	0	1	0
1	4109282	-	0	0	1	0
1	4130508	-	0	0	2	1
1	4148038	-	0	3	4	4
1	4148039	-	0	1	0	0
1	4153834	+	0	0	0	1
1	4163166	-	0	0	1	1
1	4163168	-	0	0	1	0
1	4165243	+	0	0	1	0
1	4218776	-	0	0	0	1
1	4234947	+	0	0	1	0
1	4240051	-	0	0	3	0
1	4268609	-	0	1	0	0
1	4285931	-	1	0	0	0
1	4285953	-	0	0	1	0
1	4300406	+	0	3	7	0
1	4300801	+	1	0	0	0
1	4307668	-	0	0	1	0
1	4351669	+	0	0	1	0
1	4440398	-	0	0	1	0
1	4440714	-	0	3	0	2
1	4440715	-	0	0	2	1
1	4441176	-	0	0	1	0
1	4441177	-	0	0	1	0
1	4444664	+	13	4	6	17
1	4457016	+	0	0	1	0
1	4506622	+	1	2	5	6
1	4533791	-	0	0	1	1
1	4534101	-	0	0	1	1
1	4541456	+	0	0	2	1
1	4541629	+	0	0	0	1
1	4541644	+	0	0	0	1
1	4542077	+	0	0	0	2
1	4542243	+	0	0	0	1
1	4542481	+	0	0	3	5
1	4542618	+	0	0	1	0
1	4543417	+	1	0	0	1
1	4543715	-	0	0	1	0
1	4543972	-	0	0	1	0
1	4543973	-	1	4	1	0
1	4543974	-	0	1	8	9
1	4556303	-	0	0	1	0
1	4592168	-	0	0	0	1
1	4592169	-	0	0	1	0
1	4594116	+	0	0	1	0
1	4595378	-	0	2	0	0
1	4595433	-	0	0	1	0
1	4595471	-	0	0	1	0
1	4595572	-	0	0	1	0
1	4595915	-	0	0	0	1
1	4596165	-	0	0	0	1
1	4596167	-	2	4	1	1
1	4597794	+	0	0	1	3
1	4597849	-	1	0	0	0
1	4597899	+	0	0	1	0
1	4597970	-	0	1	0	0
1	4603396	+	0	2	0	0
1	4609582	-	0	0	2	0
1	4609973	+	0	0	0	1
1	4610354	-	0	0	0	1
1	4610373	-	0	0	1	0
1	4710583	+	1	0	0	0
1	4718258	+	0	0	0	2
1	4718860	-	0	0	0	1
1	4731398	-	0	0	1	0
1	4735531	-	0	0	2	0
1	4736142	+	0	1	2	2
1	4736199	+	0	0	0	1
1	4742419	-	0	0	0	1
1	4742696	+	0	1	0	0
1	4743160	+	0	2	0	0
1	4743220	+	1	0	0	0
1	4743359	+	1	0	0	0
1	4745785	-	0	1	0	0
1	4759954	-	2	0	0	0
1	4759992	-	0	1	0	0
1	4760227	-	1	0	0	0
1	4761529	-	0	0	1	0
1	4761531	-	0	0	4	0
1	4814464	+	0	0	0	1
1	4854721	-	1	0	3	1
1	4856091	-	0	0	0	1
1	4856192	-	0	0	1	0
1	4856335	+	0	0	0	1
1	4870820	-	0	0	1	0
1	4927391	+	0	0	0	1
1	4975368	+	0	2	0	0
1	4977490	+	0	1	0	0
1	4982517	+	0	1	0	0
1	4985568	+	0	0	1	0
1	4986729	+	0	0	4	0
1	4986860	+	0	0	0	1
1	4988899	+	10	10	0	2
1	4989099	-	0	0	0	1
1	4991669	+	0	0	0	1
1	4992058	+	0	0	0	1
1	4995991	+	1	0	0	0
1	4999833	+	3	3	4	8
1	5001718	+	0	1	0	0
1	5003107	+	0	0	1	0
1	5006765	+	0	2	0	0
1	5010288	+	0	0	0	1
1	5010556	+	0	0	1	0
1	5013605	+	0	0	1	0
1	5017745	+	0	0	1	0
1	5021035	+	1	0	0	0
1	5022895	-	0	0	1	0
1	5030079	+	0	0	2	2
1	5039444	+	0	0	1	0
1	5065845	+	0	0	0	1
1	5080953	+	0	0	3	0
1	5080956	+	0	0	4	3
1	5080959	+	0	0	1	0
1	5081463	-	0	0	1	0
1	5081737	-	0	0	1	0
1	5082300	+	0	1	0	0
1	5082318	+	0	3	0	0
1	5082597	+	0	0	1	0
1	5083091	-	0	0	0	1
1	5083838	-	0	1	0	0
1	5085587	+	0	0	0	2
1	5085877	+	0	0	0	1
1	5125863	+	0	0	1	0
1	5218126	-	2	0	0	0
1	5294956	+	0	0	1	0
1	5319668	+	1	0	0	0
1	5319816	+	0	2	0	0
1	5328012	-	0	0	3	0
1	5328081	-	1	0	8	6
1	5330952	-	0	0	0	1
1	5335427	-	0	0	1	0
1	5339105	-	0	0	0	1
1	5365440	+	0	1	0	0
1	5384748	-	0	2	0	0
1	5428257	+	0	2	0	0
1	5428463	-	0	1	0	0
1	5428607	+	0	1	0	0
1	5428647	-	0	0	1	0
1	5450252	-	0	1	0	0
1	5450923	-	0	0	0	1
1	5452063	-	0	0	1	0
1	5495326	+	0	0	27	23
1	5510720	-	0	0	0	1
1	5513128	+	0	1	0	0
1	5513948	+	1	0	0	0
1	5524482	+	0	0	0	1
1	5524939	+	0	0	0	1
1	5525313	+	0	0	1	0
1	5525374	+	0	0	0	1
1	5525712	-	0	0	0	1
1	5535028	-	0	0	0	1
1	5538073	+	0	0	1	0
1	5560915	+	0	0	0	1
1	5583136	-	0	2	0	0
1	5584038	-	0	3	0	0
1	5584043	-	0	3	0	0
1	5584128	-	0	0	0	1
1	5588834	+	0	0	2	0
1	5603905	-	0	0	3	5
1	5603931	-	0	0	1	0
1	5612256	-	0	0	0	1
1	5622630	-	1	0	0	0
1	5624346	-	0	2	0	0
1	5627714	-	1	3	7	3
1	5631961	-	0	0	1	0
1	5632565	+	0	0	1	0
1	5633309	+	0	0	1	0
1	5633762	-	0	0	2	0
1	5636211	+	2	0	0	0
1	5641691	-	1	14	9	6
1	5713370	-	1	2	2	3
1	5721279	+	0	1	0	0
1	5733384	+	0	1	0	0
1	5735503	-	0	2	2	1
1	5738505	+	0	0	1	0
1	5740883	+	0	1	0	1
1	5743142	-	1	0	0	0
1	5803461	+	0	1	0	0
1	5803506	+	0	1	0	0
1	5803667	-	0	0	0	1
1	5803669	-	0	1	0	0
1	5806841	+	0	0	1	0
1	5807222	+	1	0	0	0
1	5826224	-	0	0	1	0
1	5826429	-	0	0	0	1
1	5832430	+	0	0	4	5
1	5864095	-	0	0	0	1
1	5865874	+	0	0	0	1
1	5865978	-	0	0	0	1
1	5869308	-	0	0	3	0
1	5873812	-	2	8	0	3
1	5947184	+	0	1	0	0
1	5947212	+	0	5	4	0
1	5947605	-	1	0	0	0
1	5947822	+	0	1	0	0
1	6014233	+	0	0	0	1
1	6015568	+	0	0	2	0
1	6016993	+	0	0	1	0
1	6018453	+	0	0	0	1
1	6060025	+	0	0	0	1
1	6062323	-	0	0	1	0
1	6067240	+	0	0	1	0
1	6076265	-	1	0	0	0
1	6149160	+	11	11	2	1
1	6164032	-	1	7	0	0
1	6164035	-	1	7	0	0
1	6164116	-	0	4	0	0
1	6168623	-	0	1	0	0
1	6172129	-	0	0	0	1
1	6189173	+	1	0	0	0
1	6204380	+	0	0	2	0
1	6209995	+	0	0	1	0
1	6213018	+	0	0	0	1
1	6217563	+	1	0	0	0
1	6223558	-	0	0	1	0
1	6229508	-	1	0	0	0
1	6231057	-	0	0	1	0
1	6231058	-	1	0	1	0
1	6231358	+	0	0	0	1
1	6246224	-	0	0	1	0
1	6246226	-	0	0	1	0
1	6275896	+	0	0	0	1
1	6326414	+	0	0	0	1
1	6356231	+	1	3	2	0
1	6363166	-	0	1	0	0
1	6404214	+	0	3	0	0
1	6404273	+	1	0	0	0
1	6404347	+	2	0	0	0
1	6404425	+	2	2	0	0
1	6404456	+	1	2	0	0
1	6404459	+	1	0	0	0
1	6404933	+	2	4	0	0
1	6404959	+	1	2	0	0
1	6404962	+	0	2	0	0
1	6404970	+	0	2	0	0
1	6405005	+	0	0	0	2
1	6405032	+	1	0	0	0
1	6405304	+	0	7	0	1
1	6405390	+	0	0	0	4
1	6405502	+	5	4	0	0
1	6405900	+	0	0	0	1
1	6405975	-	1	2	0	0
1	6406430	+	1	2	0	0
1	6409243	+	0	0	0	1
1	6415132	-	0	0	1	0
1	6417716	+	0	0	2	0
1	6419004	+	0	0	0	1
1	6475399	-	0	0	24	21
1	6519425	+	1	0	0	0
1	6526881	-	0	0	0	1
1	6527125	+	0	0	22	16
1	6530089	+	0	1	0	0
1	6530638	-	0	0	3	2
1	6533365	-	0	0	0	1
1	6533367	-	0	1	0	0
1	6533369	-	0	0	0	2
1	6536029	-	0	0	1	1
1	6536031	-	0	2	0	0
1	6536160	-	0	0	43	28
1	6536161	-	0	0	19	12
1	6536163	-	0	0	3	1
1	6536164	-	0	0	2	2
1	6536178	-	0	0	3	4
1	6543370	+	0	0	0	2
1	6544275	-	1	0	0	1
1	6544276	-	0	0	1	2
1	6550473	+	0	0	0	2
1	6563816	-	0	0	4	3
1	6569722	-	0	0	4	0
1	6570106	-	0	0	1	0
1	6580886	-	0	0	1	0
1	6607838	+	0	0	1	0
1	6632041	-	2	9	0	0
1	6651014	+	29	5	5	9
1	6750071	+	0	0	1	1
1	6750320	-	0	0	1	0
1	6774155	-	0	0	3	0
1	6774168	-	0	0	0	1
1	6774366	+	0	1	0	0
1	6776679	+	0	1	0	0
1	6777123	+	0	0	0	1
1	6777133	-	1	0	0	0
1	6777843	+	0	0	1	0
1	6777872	-	0	0	1	0
1	6793372	+	0	0	1	0
1	6802680	-	0	2	0	0
1	6802794	+	0	0	11	5
1	6802821	+	1	0	0	0
1	6803188	+	0	0	1	0
1	6826485	+	0	0	2	2
1	6826491	+	0	0	21	20
1	6832067	+	0	0	0	1
1	6832089	+	0	0	0	1
1	6834805	-	1	0	0	0
1	6838284	+	0	0	1	0
1	6913120	-	0	0	1	0
1	6915050	-	0	0	0	2
1	6915446	-	0	0	0	1
1	6916325	-	0	1	0	0
1	6916429	-	0	0	0	1
1	6917187	+	0	0	1	0
1	6917292	-	0	0	1	0
1	6917373	-	1	0	0	0
1	7034590	+	0	0	2	0
1	7039037	+	0	0	1	0
1	7039116	+	0	0	1	0
1	7040791	+	0	0	0	2
1	7064428	-	0	0	0	1
1	7069743	+	0	0	0	1
1	7073097	-	0	3	0	0
1	7078061	-	0	3	0	0
1	7082810	-	1	0	0	0
1	7084328	+	1	0	0	0
1	7084676	+	0	0	0	1
1	7104553	-	0	0	1	0
1	7155246	-	0	2	0	0
1	7155247	-	1	1	0	0
1	7155881	+	0	1	0	0
1	7156298	-	0	2	0	0
1	7162951	+	0	0	1	0
1	7186726	+	1	0	0	0
1	7186741	+	0	0	0	1
1	7186835	-	0	0	1	0
1	7188151	-	0	1	0	0
1	7188353	-	0	0	0	1
1	7188354	-	0	0	1	0
1	7189716	-	0	0	0	1
1	7196713	-	0	0	0	1
1	7211422	+	0	0	1	0
1	7237456	+	0	1	1	0
1	7241372	+	0	0	0	1
1	7243188	-	0	0	1	0
1	7243542	-	0	0	1	0
1	7244594	-	0	0	0	1
1	7248674	+	0	0	1	0
1	7248783	+	0	0	1	1
1	7248795	+	0	0	1	0
1	7284001	-	0	1	2	1
1	7284002	-	2	5	2	2
1	7296130	-	0	0	1	3
1	7296313	-	0	0	1	0
1	7308524	-	0	1	0	0
1	7308647	-	1	2	0	0
1	7309433	-	0	1	0	0
1	7309434	-	0	2	0	0
1	7309477	-	0	7	0	0
1	7351621	+	0	0	1	0
1	7353551	+	0	0	0	2
1	7353655	+	0	0	0	1
1	7391949	+	0	1	1	1
1	7392161	+	0	0	1	0
1	7398283	+	0	4	0	0
1	7398285	+	0	0	19	16
1	7451914	-	0	0	0	1
1	7452270	-	0	0	0	1
1	7453442	-	0	0	0	1
1	7483913	+	0	0	3	2
1	7561599	+	0	0	0	1
1	7562135	+	1	4	0	0
1	7563044	-	0	0	1	0
1	7564533	-	0	0	1	1
1	7592822	+	0	0	1	0
1	7597129	-	0	0	1	0
1	7660042	-	0	0	0	1
1	7693185	+	0	1	0	0
1	7709749	+	0	0	1	0
1	7709817	-	0	0	0	1
1	7709818	+	1	0	0	0
1	7710311	-	0	0	0	1
1	7710315	-	0	0	1	0
1	7716778	-	0	0	1	0
1	7758274	+	0	0	0	1
1	7763657	+	0	0	4	0
1	7770589	+	0	0	4	2
1	7820065	-	0	1	0	0
1	7820121	-	0	0	1	0
1	7820151	-	0	0	0	1
1	7820177	-	0	0	1	0
1	7820178	-	0	0	1	0
1	7820190	-	0	0	0	1
1	7820205	-	0	0	0	1
1	7820518	-	0	0	1	2
1	7820567	-	1	1	0	0
1	7820569	-	1	4	9	6
1	7820587	-	0	5	0	1
1	7820596	-	0	0	2	0
1	7820598	-	0	0	1	0
1	7820599	-	0	0	0	2
1	7820600	-	0	2	1	0
1	7820613	-	0	0	1	1
1	7820623	-	0	0	0	1
1	7820624	-	0	0	3	0
1	7820699	-	0	0	0	3
1	7820700	-	4	8	26	19
1	7820702	-	0	3	0	1
1	7820710	-	0	0	0	1
1	7820855	-	0	0	3	0
1	7820860	-	1	0	3	0
1	7820861	-	1	0	0	0
1	7820874	-	0	0	0	1
1	7820889	-	1	0	0	0
1	7820893	-	0	0	1	0
1	7820897	-	0	0	1	0
1	7820934	-	0	10	1	3
1	7820973	-	1	0	0	0
1	7821002	-	0	1	0	0
1	7821012	-	0	2	0	0
1	7821014	-	0	0	0	1
1	7856482	-	0	0	1	1
1	7856524	-	0	0	2	1
1	7859984	-	0	1	0	0
1	7910800	+	0	0	0	2
1	7944790	+	1	4	1	2
1	7947301	+	0	1	0	0
1	7949520	+	0	0	0	1
1	7950280	-	2	0	0	0
1	7962847	+	0	0	0	1
1	7967108	+	0	0	1	0
1	7991753	-	0	0	1	0
1	7993444	-	0	0	1	0
1	7994371	-	0	0	1	0
1	8026548	+	0	0	1	0
1	8032885	+	0	0	64	95
1	8039823	+	0	0	1	1
1	8075746	+	0	0	0	1
1	8137012	-	0	0	0	1
1	8142992	-	0	0	1	0
1	8143072	+	1	0	5	4
1	8146062	-	0	0	0	1
1	8180285	+	0	0	0	1
1	8195578	+	0	0	0	2
1	8222064	-	0	3	0	0
1	8222066	-	0	0	1	0
1	8226312	-	0	3	0	0
1	8260065	+	0	0	1	0
1	8260741	-	0	0	1	0
1	8267855	-	0	0	1	0
1	8270135	-	0	0	1	0
1	8273663	+	0	0	0	1
1	8278585	+	0	0	2	0
1	8280776	+	0	2	0	0
1	8284173	+	0	0	1	0
1	8285668	+	0	0	1	0
1	8290479	+	0	0	1	0
1	8299360	-	0	0	0	1
1	8342965	-	0	0	1	0
1	8343777	-	0	1	0	0
1	8347663	-	0	1	2	0
1	8350910	+	0	0	0	2
1	8414853	-	0	1	0	0
1	8423402	-	0	0	0	1
1	8424076	+	1	0	0	0
1	8442752	+	0	0	2	6
1	8453860	+	0	0	2	1
