# HOMER Peaks
# Peak finding parameters:
# tag directory = posFile_89_90/
#
# total peaks = 26698
# peak size = 150
# peaks found separately for each strand
# minimum distance between peaks = 300
# fragment length = 0
# genome size = 2000000000
# Total tags = 7931647.0
# Total tags in peaks = 7173674.0
# Approximate IP efficiency = 90.44%
# tags per bp = 0.003966
# expected tags per peak = 0.297
# maximum tags considered per bp = 0.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 3.151667e-08
# FDR tag threshold = 7.0
# number of putative peaks = 31345
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 4647
#
# cmd = findPeaks posFile_89_90/ -style tss -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Dispersion Ratio	Periodic Ratio
1-15	1	200504320	200504470	+	7930.3	0.983	6303.000000	6556.24	0.00e+00	0.986330	0.186047
5-16	5	173434475	173434625	-	7872.3	0.992	6249.000000	3154.02	0.00e+00	0.665119	0.386896
6-16	6	6905588	6905738	-	7826.9	0.889	6208.000000	865.52	0.00e+00	0.819427	0.740410
2-12	2	59216721	59216871	+	7824.4	0.999	6283.000000	3738.78	0.00e+00	0.934579	0.773399
1-16	1	287407389	287407539	-	7802.9	0.981	6189.000000	135470.33	0.00e+00	0.814833	0.083770
3-19	3	187660761	187660911	+	7708.4	0.958	6114.000000	14869.85	0.00e+00	0.744030	0.334185
6-17	6	128648206	128648356	+	7705.8	0.966	6117.000000	19112.13	0.00e+00	0.965969	0.004808
1-17	1	105239796	105239946	-	7690.7	0.993	6100.000000	1210.17	0.00e+00	0.359080	0.311742
4-10	4	4866011	4866161	+	7634.0	0.974	6056.000000	4623.39	0.00e+00	0.951445	0.346939
4-11	4	171295803	171295953	-	7549.5	0.989	6007.000000	2412.34	0.00e+00	0.982632	0.826923
3-20	3	155017192	155017342	-	7354.1	0.989	5841.000000	1896.21	0.00e+00	0.971884	0.512195
7-18	7	141917894	141918044	+	7345.3	0.682	5865.000000	1548.88	0.00e+00	0.550256	0.538959
5-17	5	5197747	5197897	+	7331.4	0.884	5815.000000	1463.03	0.00e+00	0.882545	0.027818
6-18	6	142506324	142506474	-	7226.7	0.994	5740.000000	4590.26	0.00e+00	0.994592	0.709677
5-18	5	1933147	1933297	+	7114.5	0.989	5643.000000	13724.33	0.00e+00	0.986532	0.513158
3-21	3	168333862	168334012	+	7103.2	0.660	5771.000000	610.50	0.00e+00	0.555771	0.479175
9-5	9	103448281	103448431	-	7095.6	0.686	6347.000000	85.87	0.00e+00	0.639298	0.423638
10-14	10	4994173	4994323	+	6950.6	0.758	5530.000000	1244.06	0.00e+00	0.750725	0.492364
3-18	3	178897460	178897610	-	6828.3	0.679	6552.000000	251.52	0.00e+00	0.415527	0.686223
10-12	10	83469727	83469877	+	6781.7	0.879	6839.000000	199.22	0.00e+00	0.952763	0.672065
3-22	3	34681678	34681828	-	6776.7	0.991	5399.000000	3601.62	0.00e+00	0.989209	0.465517
4-12	4	181461598	181461748	-	6670.7	0.726	5315.000000	1232.07	0.00e+00	0.580231	0.301216
2-13	2	189875784	189875934	+	6632.9	0.429	5263.000000	7197.34	0.00e+00	0.346570	0.460017
1-18	1	292162367	292162517	+	6593.8	0.978	5260.000000	4403.03	0.00e+00	0.940344	0.041667
4-13	4	37971095	37971245	-	6568.6	0.998	5215.000000	7279.22	0.00e+00	0.593474	0.323418
1-19	1	22939424	22939574	-	6469.0	0.996	5131.000000	4745.57	0.00e+00	0.964334	0.087432
4-14	4	204451245	204451395	-	6432.5	0.976	5119.000000	2964.88	0.00e+00	0.975500	0.808000
5-19	5	84284445	84284595	+	6383.3	0.873	5074.000000	3821.50	0.00e+00	0.854142	0.449728
3-23	3	34948621	34948771	+	6355.6	0.950	5102.000000	2416.25	0.00e+00	0.947034	0.591760
4-15	4	20572716	20572866	-	6350.5	0.897	5077.000000	5606.15	0.00e+00	0.892595	0.768946
7-19	7	143334158	143334308	-	6337.9	0.968	5058.000000	4715.80	0.00e+00	0.975930	0.776860
7-21	7	163045027	163045177	-	6293.8	0.754	5001.000000	4820.71	0.00e+00	0.759415	0.033306
7-20	7	126011369	126011519	-	6276.1	0.996	5008.000000	1889.53	0.00e+00	0.996585	0.411765
6-19	6	3573680	3573830	+	6243.3	0.968	4965.000000	717.84	0.00e+00	0.971325	0.281690
3-25	3	184490317	184490467	+	6242.1	0.930	4992.000000	2802.72	0.00e+00	0.967481	0.472050
4-16	4	81732459	81732609	-	6219.4	0.835	4937.000000	1038.25	0.00e+00	0.989060	0.796296
3-24	3	215518577	215518727	-	6203.0	0.978	5061.000000	1392.59	0.00e+00	0.989024	0.259259
2-14	2	5275166	5275316	+	6137.4	0.604	4939.000000	1377.87	0.00e+00	0.607650	0.422432
7-22	7	165426058	165426208	-	6126.1	0.798	4861.000000	2071.91	0.00e+00	0.858201	0.782293
4-17	4	110093465	110093615	+	6122.3	0.799	4857.000000	14494.42	0.00e+00	0.646284	0.498836
8-13	8	136446046	136446196	+	6092.1	0.952	4844.000000	2538.41	0.00e+00	0.700248	0.318871
10-15	10	68938750	68938900	-	6066.8	0.975	4846.000000	706.91	0.00e+00	0.973400	0.117188
1-20	1	56560153	56560303	+	6045.4	0.555	4830.000000	1809.61	0.00e+00	0.514398	0.435759
2-15	2	237621767	237621917	-	5978.6	0.854	4743.000000	611.77	0.00e+00	0.822747	0.564286
5-20	5	9485303	9485453	-	5974.8	0.884	4778.000000	197.08	0.00e+00	0.973201	0.188976
1-21	1	181907707	181907857	-	5940.8	0.983	4727.000000	1539.41	0.00e+00	0.991087	0.095238
3-26	3	175750371	175750521	+	5916.8	0.595	4711.000000	2265.98	0.00e+00	0.571886	0.546407
10-16	10	8853856	8854006	-	5844.9	0.955	4647.000000	6088.61	0.00e+00	0.955781	0.882927
2-16	2	55393616	55393766	-	5842.4	0.989	4656.000000	6615.20	0.00e+00	0.990937	0.833333
6-20	6	156453347	156453497	-	5829.8	0.968	4641.000000	647.43	0.00e+00	0.389812	0.824794
4-18	4	127723322	127723472	+	5814.7	0.798	4635.000000	4265.56	0.00e+00	0.947656	0.398010
8-14	8	118570493	118570643	-	5764.3	0.943	4745.000000	676.19	0.00e+00	0.940726	0.413284
8-15	8	148795406	148795556	-	5759.2	0.408	4620.000000	2912.28	0.00e+00	0.169962	0.627677
1-22	1	58476500	58476650	-	5757.9	0.976	4582.000000	650.54	0.00e+00	0.975695	0.270270
2-17	2	33123432	33123582	-	5644.5	0.942	4548.000000	286.54	0.00e+00	0.941925	0.130769
7-23	7	159175104	159175254	-	5643.2	0.989	4488.000000	592.59	0.00e+00	0.990393	0.534884
7-24	7	26169638	26169788	-	5631.9	0.976	4476.000000	1767.07	0.00e+00	0.974703	0.079646
2-18	2	220060376	220060526	-	5604.1	0.464	4453.000000	461.12	0.00e+00	0.460342	0.828392
3-27	3	165765676	165765826	+	5557.5	0.949	4519.000000	1068.11	0.00e+00	0.930127	0.850649
5-21	5	54201715	54201865	-	5531.0	0.983	4509.000000	496.69	0.00e+00	0.947608	0.226087
5-22	5	206793439	206793589	+	5504.5	0.937	4368.000000	2986.47	0.00e+00	0.791113	0.509868
4-19	4	194173073	194173223	+	5497.0	0.996	4362.000000	15068.77	0.00e+00	0.986468	0.440678
3-28	3	168878575	168878725	+	5460.4	0.979	4348.000000	1142.18	0.00e+00	0.985685	0.645161
2-19	2	210202140	210202290	-	5412.5	0.977	4307.000000	18793.80	0.00e+00	0.985791	0.196721
8-16	8	161569247	161569397	+	5331.8	0.867	4246.000000	4872.01	0.00e+00	0.835895	0.384726
5-23	5	186780382	186780532	-	5280.1	0.992	4188.000000	1122.50	0.00e+00	0.990210	0.463415
6-21	6	123961042	123961192	-	5275.1	0.972	4194.000000	1526.39	0.00e+00	0.627390	0.553560
scaffold_148-1	scaffold_148	1	77	+	5271.3	0.405	4184.000000	10175.90	0.00e+00	0.332444	0.749800
4-20	4	20529082	20529232	+	5259.9	0.967	4176.000000	19568.67	0.00e+00	0.938174	0.480620
2-20	2	41935469	41935619	-	5234.7	0.990	4152.000000	1298.32	0.00e+00	0.928709	0.445946
2-21	2	200542792	200542942	+	5208.2	0.986	4131.000000	2768.05	0.00e+00	0.505689	0.204701
3-29	3	20596824	20596974	-	5164.1	0.994	4098.000000	5074.92	0.00e+00	0.983398	0.426471
10-17	10	69100153	69100303	-	5159.1	0.902	4101.000000	3124.51	0.00e+00	0.901760	0.047264
2-22	2	216071540	216071690	-	5133.9	0.911	4106.000000	3260.91	0.00e+00	0.912018	0.460894
8-17	8	14544708	14544858	-	5112.4	0.851	4058.000000	3132.69	0.00e+00	0.870284	0.319392
7-25	7	157607962	157608112	+	5062.0	0.809	4063.000000	344.64	0.00e+00	0.506313	0.588205
2-23	2	42887048	42887198	-	5020.4	0.432	3985.000000	15.97	0.00e+00	0.697559	0.844049
10-18	10	144046041	144046191	-	4966.2	0.572	3953.000000	427.54	0.00e+00	0.390423	0.645054
4-21	4	131204382	131204532	+	4905.7	0.889	3902.000000	2322.81	0.00e+00	0.762198	0.832613
8-18	8	84641796	84641946	+	4835.1	0.307	3914.000000	356.20	0.00e+00	0.272588	0.672062
10-19	10	14647989	14648139	+	4831.3	0.961	3846.000000	3812.65	0.00e+00	0.941023	0.225664
5-24	5	176160480	176160630	+	4790.9	0.711	3879.000000	710.92	0.00e+00	0.449974	0.748684
9-7	9	118709013	118709163	-	4780.8	0.996	3792.000000	7323.76	0.00e+00	0.929061	0.717472
3-30	3	8542019	8542169	+	4779.6	0.982	3806.000000	1303.36	0.00e+00	0.974149	0.653061
3-31	3	168278335	168278485	-	4779.6	0.844	3798.000000	2705.89	0.00e+00	0.807267	0.751366
9-6	9	62308079	62308229	+	4712.8	0.601	3997.000000	22.38	0.00e+00	0.554545	0.372913
3-32	3	217552154	217552304	-	4705.2	0.863	3739.000000	4901.36	0.00e+00	0.868286	0.815574
2-24	2	2808152	2808302	+	4696.4	0.832	3737.000000	3945.30	0.00e+00	0.948188	0.663212
6-23	6	117288078	117288228	-	4687.6	0.944	3720.000000	3644.01	0.00e+00	0.313408	0.561839
6-22	6	114664638	114664788	-	4686.3	0.997	3730.000000	11094.68	0.00e+00	0.913371	0.341615
2-25	2	24569968	24570118	-	4681.2	0.982	3713.000000	22165.48	0.00e+00	0.979801	0.533333
4-22	4	237801871	237802021	+	4669.9	0.677	3711.000000	7370.59	0.00e+00	0.623415	0.940544
2-26	2	215752766	215752916	+	4651.0	0.988	3689.000000	3187.43	0.00e+00	0.988344	0.767442
4-23	4	43082411	43082561	+	4649.7	0.986	3690.000000	17298.48	0.00e+00	0.804772	0.826389
1-23	1	248178509	248178659	+	4642.2	0.988	3684.000000	5495.11	0.00e+00	0.987242	0.765957
7-27	7	44815912	44816062	-	4632.1	1.000	3674.000000	30157.42	0.00e+00	1.000000	0.000000
6-24	6	142273436	142273586	+	4629.6	0.861	3683.000000	2078.69	0.00e+00	0.856754	0.714829
10-20	10	14767600	14767750	+	4618.2	0.956	3689.000000	1475.69	0.00e+00	0.957139	0.828025
3-33	3	171795533	171795683	-	4577.9	0.979	3727.000000	620.93	0.00e+00	0.968267	0.600000
6-25	6	156713554	156713704	+	4572.8	0.512	3627.000000	7683.00	0.00e+00	0.861318	0.767396
1-24	1	289345054	289345204	+	4536.3	0.999	3644.000000	4004.55	0.00e+00	0.999722	1.000000
4-25	4	12989188	12989338	+	4521.1	0.639	3601.000000	2559.57	0.00e+00	0.591188	0.851296
7-26	7	8065014	8065164	-	4516.1	0.748	3806.000000	749.10	0.00e+00	0.409332	0.356197
9-8	9	152399827	152399977	+	4508.5	0.996	3579.000000	26091.56	0.00e+00	0.819732	0.009302
3-34	3	193136775	193136925	-	4499.7	0.981	3572.000000	9014.01	0.00e+00	0.995517	0.875000
4-24	4	159753081	159753231	-	4492.1	0.981	3603.000000	1030.71	0.00e+00	0.978676	0.197368
5-25	5	128820178	128820328	+	4463.1	0.982	3542.000000	5669.76	0.00e+00	0.926429	0.257692
3-35	3	202064828	202064978	-	4408.9	0.991	3505.000000	3377.00	0.00e+00	0.978839	0.486486
8-19	8	148046124	148046274	+	4396.3	0.757	3504.000000	2862.25	0.00e+00	0.726313	0.558916
1-25	1	231403591	231403741	-	4379.9	0.799	3477.000000	491.65	0.00e+00	0.780270	0.604712
5-26	5	182181116	182181266	-	4378.7	0.791	3511.000000	978.80	0.00e+00	0.806263	0.413897
1-26	1	295100579	295100729	+	4363.5	0.708	3467.000000	159.94	0.00e+00	0.656458	0.382675
8-20	8	70026845	70026995	+	4344.6	0.985	3446.000000	4040.85	0.00e+00	0.986361	0.170213
4-26	4	56335705	56335855	+	4334.5	0.956	3459.000000	222.43	0.00e+00	0.958115	0.722222
Pt-1	Pt	11074	11224	+	4282.8	0.803	3492.000000	103.13	0.00e+00	0.572227	0.472767
1-28	1	265241092	265241242	+	4269.0	0.930	3386.000000	201.40	0.00e+00	0.519002	0.756790
1-27	1	286052791	286052941	-	4266.5	0.734	3409.000000	1461.95	0.00e+00	0.737404	0.242664
9-9	9	27105627	27105777	+	4266.5	0.986	3387.000000	6733.82	0.00e+00	0.967790	0.522936
9-10	9	99785920	99786070	-	4266.5	0.799	3384.000000	6535.76	0.00e+00	0.578310	0.591451
