# HOMER Peaks
# Peak finding parameters:
# tag directory = posFile_91_92/
#
# total peaks = 27084
# peak size = 150
# peaks found separately for each strand
# minimum distance between peaks = 300
# fragment length = 0
# genome size = 2000000000
# Total tags = 5988795.0
# Total tags in peaks = 5289437.0
# Approximate IP efficiency = 88.32%
# tags per bp = 0.002994
# expected tags per peak = 0.225
# maximum tags considered per bp = 0.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 1.470486e-07
# FDR tag threshold = 6.0
# number of putative peaks = 34369
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 7285
#
# cmd = findPeaks posFile_91_92/ -style tss -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Dispersion Ratio	Periodic Ratio
7-9	7	8065014	8065164	-	8444.1	0.857	5079.000000	2594.35	0.00e+00	0.391976	0.293225
1-13	1	231403591	231403741	-	8362.3	0.890	5011.000000	592.54	0.00e+00	0.878268	0.611475
4-9	4	198257611	198257761	-	8268.8	0.876	4988.000000	221.82	0.00e+00	0.954362	0.371681
1-14	1	22939424	22939574	-	8237.0	0.998	4935.000000	2866.67	0.00e+00	0.961687	0.042328
4-10	4	237401851	237402001	+	8190.3	0.996	4911.000000	7157.67	0.00e+00	0.988384	0.771930
1-15	1	141745594	141745744	+	8083.4	0.992	4846.000000	9349.77	0.00e+00	0.991531	0.439024
7-10	7	172866795	172866945	-	7944.8	0.984	4773.000000	2140.01	0.00e+00	0.991173	0.666667
6-8	6	2885365	2885515	-	7787.9	0.990	4680.000000	1451.51	0.00e+00	0.990137	0.413043
5-9	5	186730831	186730981	-	7607.5	0.975	4565.000000	217.43	0.00e+00	0.974539	0.827586
7-11	7	168441699	168441849	+	7500.7	0.889	4590.000000	584.11	0.00e+00	0.978406	0.556701
1-16	1	287407389	287407539	-	7450.6	0.987	4463.000000	26636.79	0.00e+00	0.809951	0.060142
5-10	5	184744763	184744913	+	7347.1	0.989	4412.000000	9963.22	0.00e+00	0.960455	0.614943
7-12	7	163045027	163045177	-	7133.3	0.684	4279.000000	1593.91	0.00e+00	0.688904	0.073740
2-9	2	209641647	209641797	-	7103.3	0.973	4264.000000	3581.36	0.00e+00	0.952549	0.678218
10-10	10	132447176	132447326	-	7068.2	0.954	4233.000000	4276.42	0.00e+00	0.954878	0.225131
3-11	3	217552154	217552304	-	7049.8	0.815	4263.000000	2349.53	0.00e+00	0.832286	0.828530
4-11	4	4866006	4866156	+	6896.2	0.579	4131.000000	2511.14	0.00e+00	0.944081	0.281385
6-10	6	153512527	153512677	-	6776.0	0.867	4064.000000	3753.17	0.00e+00	0.867636	0.076350
6-9	6	156744955	156745105	+	6744.3	0.959	4077.000000	2210.23	0.00e+00	0.960881	0.481013
4-12	4	240779493	240779643	+	6674.1	0.705	3997.000000	7719.70	0.00e+00	0.703778	0.974662
2-10	2	28495395	28495545	-	6647.4	0.989	3995.000000	1256.82	0.00e+00	0.987943	0.708333
9-4	9	139441591	139441741	+	6575.6	0.952	3954.000000	1606.18	0.00e+00	0.951752	0.878947
8-10	8	11923033	11923183	+	6572.3	1.000	3936.000000	23496.73	0.00e+00	1.000000	0.000000
5-13	5	19460890	19461040	-	6513.8	0.997	3902.000000	2846.29	0.00e+00	0.994360	0.227273
7-13	7	154308265	154308415	-	6487.1	0.911	4202.000000	613.26	0.00e+00	0.601036	0.166234
5-12	5	14085202	14085352	-	6483.8	0.983	3916.000000	1440.59	0.00e+00	0.983514	0.750000
5-11	5	50120106	50120256	-	6450.4	0.956	4014.000000	513.50	0.00e+00	0.779500	0.341554
9-5	9	147428595	147428745	-	6336.8	0.990	3796.000000	3893.83	0.00e+00	0.990250	0.297297
3-12	3	212517788	212517938	+	6316.8	0.940	4179.000000	498.83	0.00e+00	0.945917	0.093137
4-14	4	14881614	14881764	-	6296.8	0.988	3776.000000	1607.98	0.00e+00	0.984885	0.368421
4-13	4	170006020	170006170	-	6296.8	0.904	3803.000000	230.78	0.00e+00	0.878282	0.211329
6-11	6	114664638	114664788	-	6228.3	0.997	3749.000000	6619.91	0.00e+00	0.936461	0.489451
5-14	5	44182053	44182203	+	6203.3	0.797	3724.000000	1626.34	0.00e+00	0.868230	0.678937
1-17	1	278196208	278196358	+	6193.2	0.953	3784.000000	212.34	0.00e+00	0.965461	0.515625
4-15	4	6629823	6629973	+	6163.2	0.897	3691.000000	2089.45	0.00e+00	0.894879	0.110825
1-18	1	66310645	66310795	+	6141.5	0.925	3701.000000	4164.17	0.00e+00	0.926047	0.540441
5-15	5	197838260	197838410	-	6129.8	0.993	3672.000000	6696.18	0.00e+00	0.982294	0.323077
4-16	4	161059204	161059354	-	6118.1	0.847	3681.000000	943.54	0.00e+00	0.339859	0.365321
6-12	6	142506324	142506474	-	6053.0	0.980	3643.000000	1062.69	0.00e+00	0.980966	0.681159
3-13	3	185366570	185366720	-	6026.3	0.654	3611.000000	3702.98	0.00e+00	0.642184	0.733540
9-6	9	49450413	49450563	-	6006.2	0.850	3616.000000	2147.30	0.00e+00	0.865999	0.087137
3-14	3	168278335	168278485	-	5977.8	0.922	3580.000000	1975.52	0.00e+00	0.888268	0.687500
8-11	8	70026846	70026996	+	5956.1	0.987	3567.000000	3496.01	0.00e+00	0.986543	0.687500
4-17	4	127723322	127723472	+	5872.6	0.852	3520.000000	3608.59	0.00e+00	0.937761	0.515464
10-11	10	147861241	147861391	-	5864.3	0.981	3549.000000	709.60	0.00e+00	0.981492	0.046154
8-12	8	18446146	18446296	-	5859.3	0.946	3509.000000	1681.93	0.00e+00	0.987176	0.622222
5-17	5	158904796	158904946	+	5787.5	0.900	3476.000000	882.17	0.00e+00	0.833814	0.368056
1-20	1	292314755	292314905	+	5752.4	0.976	3445.000000	6653.58	0.00e+00	0.976488	0.246914
1-19	1	287218246	287218396	-	5745.7	0.912	3446.000000	5648.97	0.00e+00	0.979366	0.056338
5-16	5	56872304	56872454	-	5745.7	0.957	3481.000000	2429.67	0.00e+00	0.959872	0.297101
1-21	1	290879635	290879785	-	5720.7	0.871	3432.000000	648.34	0.00e+00	0.822825	0.514003
2-11	2	2808153	2808303	+	5712.3	0.925	3436.000000	1676.46	0.00e+00	0.927214	0.839357
2-12	2	127725287	127725437	-	5675.6	0.984	3401.000000	1005.41	0.00e+00	0.982642	0.644068
1-22	1	289345054	289345204	+	5670.6	1.000	3431.000000	3844.90	0.00e+00	1.000000	0.000000
5-18	5	7531649	7531799	-	5647.2	0.989	3385.000000	9253.53	0.00e+00	0.995860	0.214286
6-13	6	60345386	60345536	+	5607.1	0.946	3401.000000	2004.62	0.00e+00	0.930613	0.832618
9-7	9	135553454	135553604	-	5607.1	1.000	3363.000000	2205.09	0.00e+00	0.993746	0.523810
2-13	2	149139128	149139278	-	5600.5	0.975	3354.000000	27530.75	0.00e+00	0.960644	0.659091
4-18	4	194173073	194173223	+	5570.4	0.996	3336.000000	7823.71	0.00e+00	0.987110	0.279070
3-15	3	17832678	17832828	+	5542.0	0.923	3322.000000	341.61	0.00e+00	0.884303	0.687500
1-24	1	277450038	277450188	-	5535.3	0.955	3315.000000	1051.62	0.00e+00	0.954751	0.900000
5-19	5	21012021	21012171	+	5522.0	0.995	3315.000000	1262.56	0.00e+00	0.995464	0.466667
8-13	8	162580750	162580900	+	5461.9	0.980	3327.000000	1376.90	0.00e+00	0.981351	0.672131
4-19	4	156219440	156219590	-	5446.8	0.941	3285.000000	4119.32	0.00e+00	0.986818	0.581395
3-16	3	112065377	112065527	-	5438.5	0.957	3258.000000	4364.82	0.00e+00	0.957016	0.142857
8-14	8	59488474	59488624	+	5420.1	0.937	3291.000000	1010.21	0.00e+00	0.950400	0.347826
1-23	1	201525720	201525870	-	5398.4	0.796	3396.000000	680.45	0.00e+00	0.765905	0.492084
10-12	10	24586070	24586220	+	5396.7	0.938	3348.000000	529.26	0.00e+00	0.699195	0.322742
4-20	4	11932108	11932258	-	5375.0	0.979	3251.000000	1509.86	0.00e+00	0.973284	0.558140
7-15	7	44815912	44816062	-	5350.0	1.000	3204.000000	105198.00	0.00e+00	1.000000	0.000000
5-20	5	15569691	15569841	-	5345.0	0.981	3201.000000	909.95	0.00e+00	0.976882	0.324324
2-14	2	210202140	210202290	-	5335.0	0.987	3224.000000	6767.90	0.00e+00	0.989045	0.400000
9-8	9	149282714	149282864	-	5319.9	0.998	3194.000000	810.91	0.00e+00	0.986190	0.590909
1-25	1	52092952	52093102	+	5314.9	0.866	3196.000000	461.41	0.00e+00	0.874332	0.432500
4-21	4	81732459	81732609	-	5291.5	0.878	3171.000000	491.96	0.00e+00	0.984538	0.918367
scaffold_17-1	scaffold_17	499	649	+	5283.2	0.657	3378.000000	766.68	0.00e+00	0.691028	0.115100
7-14	7	26503825	26503975	+	5263.2	0.991	3220.000000	397.28	0.00e+00	0.984137	0.240000
8-15	8	12993048	12993198	-	5236.4	0.972	3136.000000	8580.44	0.00e+00	0.972895	0.082353
7-16	7	141163663	141163813	-	5211.4	0.960	3129.000000	4766.18	0.00e+00	0.959923	0.544000
7-18	7	165426058	165426208	-	5174.7	0.765	3099.000000	1553.44	0.00e+00	0.845111	0.775000
7-17	7	47738453	47738603	+	5169.7	0.958	3101.000000	2449.45	0.00e+00	0.960879	0.479339
5-21	5	168712550	168712700	+	5159.6	0.955	3174.000000	445.96	0.00e+00	0.935922	0.075758
2-15	2	177290867	177291017	+	5077.8	0.961	3041.000000	2037.68	0.00e+00	0.853995	0.522523
2-16	2	215752766	215752916	+	5074.5	0.987	3039.000000	2015.77	0.00e+00	0.987167	0.666667
6-15	6	137604277	137604427	-	5019.4	0.971	3010.000000	881.22	0.00e+00	0.946108	0.314815
6-14	6	38086360	38086510	-	5004.3	0.832	3159.000000	1046.82	0.00e+00	0.849614	0.089286
10-13	10	149531147	149531297	-	4967.6	0.980	2975.000000	1538.25	0.00e+00	0.925714	0.529412
1-26	1	286052791	286052941	-	4960.9	0.657	2994.000000	682.15	0.00e+00	0.667464	0.206578
10-14	10	123126186	123126336	+	4804.0	0.988	2877.000000	1079.56	0.00e+00	0.959333	0.752137
7-19	7	143334158	143334308	-	4797.3	0.971	2884.000000	2418.72	0.00e+00	0.979812	0.620690
6-16	6	156713554	156713704	+	4787.3	0.581	2867.000000	2988.35	0.00e+00	0.877572	0.646724
4-22	4	203306755	203306905	+	4772.2	0.527	2871.000000	1060.31	0.00e+00	0.480756	0.749326
3-18	3	202064828	202064978	-	4767.2	0.988	2874.000000	1688.99	0.00e+00	0.973380	0.723684
6-17	6	87282538	87282688	+	4745.5	0.983	2842.000000	1424.62	0.00e+00	0.944405	0.411392
1-27	1	248178509	248178659	+	4718.8	0.984	2826.000000	4315.67	0.00e+00	0.984430	0.704545
3-19	3	66709085	66709235	-	4690.4	0.883	2809.000000	778.30	0.00e+00	0.438946	0.643401
2-18	2	209957155	209957305	-	4683.7	0.924	2805.000000	2878.05	0.00e+00	0.922995	0.111111
1-28	1	46693940	46694090	-	4678.7	0.994	2802.000000	6814.74	0.00e+00	0.987152	0.305556
6-18	6	153697083	153697233	-	4670.4	0.980	2803.000000	4479.75	0.00e+00	0.979979	0.017857
2-17	2	27014979	27015129	+	4667.0	0.913	2867.000000	430.84	0.00e+00	0.825403	0.438525
7-20	7	171673259	171673409	+	4628.6	0.929	2776.000000	994.69	0.00e+00	0.928932	0.375635
1-29	1	208340669	208340819	+	4620.3	0.938	2767.000000	2930.64	0.00e+00	0.938562	0.088235
1-30	1	255383501	255383651	+	4605.3	0.986	2758.000000	948.21	0.00e+00	0.976432	0.538462
5-22	5	186780382	186780532	-	4600.3	0.986	2755.000000	274.11	0.00e+00	0.985844	0.538462
7-21	7	21290120	21290270	-	4588.6	0.946	2756.000000	1244.50	0.00e+00	0.946870	0.198630
1-31	1	151365871	151366021	+	4540.1	0.745	2736.000000	797.09	0.00e+00	0.768127	0.004762
3-21	3	58907598	58907748	-	4536.8	0.986	2718.000000	194.99	0.00e+00	0.994111	0.437500
10-15	10	82052269	82052419	+	4530.1	0.927	2730.000000	984.27	0.00e+00	0.604609	0.222017
1-32	1	267068050	267068200	-	4528.5	0.968	2722.000000	2968.13	0.00e+00	0.964233	0.175258
3-20	3	175750371	175750521	+	4526.8	0.569	2726.000000	1935.03	0.00e+00	0.549796	0.419408
2-19	2	213519367	213519517	-	4503.4	0.971	2698.000000	2426.07	0.00e+00	0.974045	0.871429
1-33	1	73390722	73390872	-	4483.4	0.875	2685.000000	1075.09	0.00e+00	0.791061	0.251337
6-19	6	137100854	137101004	-	4466.7	0.997	2675.000000	58552.78	0.00e+00	0.810841	0.007905
2-20	2	42594037	42594187	+	4450.0	0.999	2665.000000	87500.83	0.00e+00	0.988743	0.200000
3-17	3	8304057	8304207	-	4433.3	0.905	2896.000000	410.22	0.00e+00	0.899397	0.202247
7-22	7	168242073	168242223	-	4414.9	0.992	2668.000000	1045.92	0.00e+00	0.966339	0.112360
5-23	5	48530793	48530943	+	4391.5	0.902	2638.000000	1427.30	0.00e+00	0.962357	0.707071
3-23	3	35933369	35933519	-	4383.2	0.831	2627.000000	1873.64	0.00e+00	0.712762	0.372679
3-22	3	212246851	212247001	-	4378.2	0.650	2637.000000	1934.58	0.00e+00	0.332571	0.673143
3-24	3	40531112	40531262	-	4348.1	0.958	2624.000000	356.99	0.00e+00	0.955803	0.200000
5-24	5	84858402	84858552	+	4338.1	0.938	2602.000000	353.95	0.00e+00	0.937644	0.358025
9-9	9	83290806	83290956	-	4331.4	0.884	2599.000000	1002.00	0.00e+00	0.567526	0.193950
6-20	6	130064977	130065127	-	4299.7	0.988	2600.000000	5830.75	0.00e+00	0.992621	0.368421
3-25	3	220851503	220851653	+	4296.4	0.991	2584.000000	297.47	0.00e+00	0.973960	0.522388
7-23	7	99566622	99566772	-	4252.9	0.977	2564.000000	543.03	0.00e+00	0.985866	0.638889
1-34	1	27981147	27981297	-	4251.3	0.994	2562.000000	555.44	0.00e+00	0.996863	0.375000
5-25	5	65138687	65138837	+	4232.9	0.980	2544.000000	408.00	0.00e+00	0.766837	0.094595
7-24	7	118343728	118343878	+	4214.5	0.968	2561.000000	445.54	0.00e+00	0.969889	0.578947
1-35	1	151750034	151750184	+	4172.8	0.891	2508.000000	1505.51	0.00e+00	0.861144	0.521614
3-26	3	126484104	126484254	-	4159.4	0.548	2509.000000	150.62	0.00e+00	0.755259	0.233058
2-21	2	56111820	56111970	+	4132.7	0.386	2477.000000	869.12	0.00e+00	0.405717	0.555469
5-26	5	68675430	68675580	+	4129.4	0.747	2473.000000	18043.74	0.00e+00	0.970077	0.648649
1-36	1	19103951	19104101	-	4106.0	0.994	2469.000000	8073.72	0.00e+00	0.993493	0.250000
1-37	1	67652649	67652799	+	4089.3	0.972	2450.000000	1286.54	0.00e+00	0.985708	0.314286
2-22	2	5275166	5275316	+	4081.0	0.661	2460.000000	798.45	0.00e+00	0.663666	0.452555
8-16	8	159933272	159933422	+	4079.3	0.969	2443.000000	1041.71	0.00e+00	0.963160	0.400000
2-23	2	150420622	150420772	+	4077.6	0.988	2453.000000	2764.79	0.00e+00	0.927109	0.837079
6-21	6	113741014	113741164	-	4055.9	0.966	2461.000000	852.96	0.00e+00	0.884726	0.410714
10-16	10	146903582	146903732	-	4052.6	0.988	2429.000000	228.98	0.00e+00	0.988051	0.482759
5-27	5	158723808	158723958	+	4035.9	0.967	2422.000000	917.44	0.00e+00	0.971038	0.485714
7-25	7	4831588	4831738	+	4032.5	0.975	2420.000000	3236.43	0.00e+00	0.946998	0.843750
9-10	9	27105627	27105777	+	4024.2	0.986	2416.000000	4057.86	0.00e+00	0.967220	0.569620
6-22	6	128637968	128638118	+	4022.5	0.983	2422.000000	4793.67	0.00e+00	0.945621	0.091603
8-18	8	168604811	168604961	+	4017.5	0.912	2407.000000	22570.57	0.00e+00	0.911887	0.042453
7-26	7	26169638	26169788	-	3982.4	0.984	2386.000000	1477.50	0.00e+00	0.983229	0.150000
8-19	8	13333635	13333785	+	3977.4	0.944	2388.000000	759.31	0.00e+00	0.942485	0.846715
6-23	6	115311447	115311597	-	3957.4	0.993	2372.000000	850.44	0.00e+00	0.972152	0.530303
2-24	2	25498448	25498598	-	3912.3	0.962	2413.000000	217.93	0.00e+00	0.812393	0.136674
8-17	8	147802128	147802278	+	3907.3	0.543	2418.000000	645.63	0.00e+00	0.302966	0.338602
10-17	10	63246013	63246163	-	3900.6	0.932	2341.000000	1704.41	0.00e+00	0.933647	0.103226
1-38	1	288804089	288804239	+	3897.3	0.983	2388.000000	385.09	0.00e+00	0.984576	0.694444
1-39	1	253167889	253168039	+	3887.3	0.931	2375.000000	1107.77	0.00e+00	0.933820	0.564935
9-11	9	1428431	1428581	-	3878.9	0.938	2339.000000	1955.69	0.00e+00	0.977634	0.307692
1-41	1	164655728	164655878	+	3873.9	0.910	2334.000000	671.13	0.00e+00	0.862931	0.487421
5-28	5	4423376	4423526	+	3873.9	0.988	2320.000000	3241.42	0.00e+00	0.917672	0.146597
1-42	1	177077637	177077787	-	3863.9	0.606	2327.000000	1766.89	0.00e+00	0.556803	0.882066
4-23	4	176891134	176891284	-	3863.9	0.978	2315.000000	3039.05	0.00e+00	0.983146	0.256410
2-25	2	25459802	25459952	-	3852.2	0.987	2320.000000	587.18	0.00e+00	0.989597	0.750000
1-40	1	11211449	11211599	-	3850.5	0.946	2335.000000	875.30	0.00e+00	0.956144	0.722772
4-25	4	2612163	2612313	-	3835.5	0.999	2297.000000	2320.56	0.00e+00	0.548106	0.003854
9-12	9	95583407	95583557	-	3827.1	0.965	2314.000000	850.33	0.00e+00	0.866968	0.765306
4-24	4	225418364	225418514	+	3818.8	0.924	2302.000000	431.55	0.00e+00	0.947530	0.633333
3-27	3	167730269	167730419	+	3813.8	0.989	2289.000000	5171.82	0.00e+00	0.786527	0.131148
5-29	5	6321208	6321358	+	3808.8	0.984	2295.000000	601.55	0.00e+00	0.984656	0.485714
