# HOMER Peaks
# Peak finding parameters:
# tag directory = tagDir_root/
#
# total peaks = 6689
# peak size = 150
# peaks found separately for each strand
# minimum distance between peaks = 300
# fragment length = 0
# genome size = 2000000000
# Total tags = 206252.0
# Total tags in peaks = 173087.0
# Approximate IP efficiency = 83.92%
# tags per bp = 0.000103
# expected tags per peak = 0.008
# maximum tags considered per bp = 0.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 7.666873e-08
# FDR tag threshold = 3.0
# number of putative peaks = 7029
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 340
#
# cmd = findPeaks tagDir_root/ -style tss -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Dispersion Ratio	Periodic Ratio
5-2	5	191964212	191964362	-	92653.6	0.819	1911.000000	17927.00	0.00e+00	0.818943	0.982659
1-3	1	258412736	258412886	+	77962.9	0.998	1608.000000	105592.00	0.00e+00	0.998134	0.000000
6-2	6	11429785	11429935	-	77429.6	0.999	1597.000000	209739.33	0.00e+00	1.000000	0.000000
4-1	4	203251678	203251828	+	75102.3	0.999	1549.000000	203435.33	0.00e+00	1.000000	0.000000
1-4	1	284192374	284192524	-	70059.9	0.999	1445.000000	189776.67	0.00e+00	1.000000	0.000000
10-2	10	13161929	13162079	-	62011.5	0.999	1279.000000	83987.67	0.00e+00	1.000000	0.000000
1-5	1	288464776	288464926	-	59635.8	0.999	1230.000000	20192.50	0.00e+00	1.000000	0.000000
5-3	5	47608112	47608262	+	51975.3	0.984	1073.000000	7039.47	0.00e+00	0.985075	0.250000
8-2	8	10643454	10643604	-	42036.0	0.999	867.000000	113866.00	0.00e+00	1.000000	0.000000
1-6	1	283533476	283533626	+	41793.5	0.999	862.000000	113209.33	0.00e+00	1.000000	0.000000
10-3	10	51693062	51693212	-	41696.6	0.999	860.000000	112946.67	0.00e+00	1.000000	0.000000
9-2	9	134974504	134974654	-	40532.9	0.999	836.000000	109794.67	0.00e+00	1.000000	0.000000
2-2	2	62482743	62482893	+	37381.5	0.999	771.000000	4219.08	0.00e+00	1.000000	0.000000
6-3	6	71175978	71176128	-	37090.6	0.999	765.000000	6279.38	0.00e+00	1.000000	0.000000
7-3	7	117550008	117550158	-	36654.2	0.999	756.000000	99288.00	0.00e+00	1.000000	0.000000
3-2	3	197127077	197127227	+	32096.7	0.998	662.000000	86942.67	0.00e+00	1.000000	0.000000
3-3	3	199379384	199379534	+	30933.0	0.995	638.000000	83790.67	0.00e+00	1.000000	0.000000
1-7	1	249591440	249591590	+	30739.1	0.998	634.000000	83265.33	0.00e+00	1.000000	0.000000
1-8	1	275831901	275832051	+	27539.1	0.998	568.000000	74597.33	0.00e+00	1.000000	0.000000
8-3	8	161108669	161108819	-	27054.3	0.998	558.000000	73284.00	0.00e+00	1.000000	0.000000
9-3	9	142407349	142407499	-	27054.3	0.998	558.000000	73284.00	0.00e+00	1.000000	0.000000
3-4	3	187063600	187063750	+	25939.1	0.998	535.000000	70263.33	0.00e+00	1.000000	0.000000
3-5	3	2624069	2624219	-	25696.7	0.998	530.000000	1581.97	0.00e+00	1.000000	0.000000
7-4	7	106675559	106675709	+	25405.8	0.998	524.000000	11469.78	0.00e+00	1.000000	0.000000
2-3	2	224397867	224398017	+	25114.9	0.998	518.000000	68030.67	0.00e+00	1.000000	0.000000
5-4	5	209048524	209048674	+	23902.8	0.998	493.000000	64747.33	0.00e+00	1.000000	0.000000
8-4	8	170885644	170885794	+	23224.0	0.998	479.000000	2621.19	0.00e+00	1.000000	0.000000
10-4	10	115597399	115597549	+	22884.6	0.998	472.000000	30994.67	0.00e+00	1.000000	0.000000
5-5	5	61101833	61101983	-	22836.1	0.998	471.000000	61858.00	0.00e+00	1.000000	0.000000
10-5	10	23786691	23786841	-	22545.2	0.998	465.000000	15267.50	0.00e+00	1.000000	0.000000
5-6	5	65983374	65983524	+	22351.3	0.998	461.000000	60544.67	0.00e+00	1.000000	0.000000
8-5	8	69108686	69108836	+	21866.5	0.998	451.000000	9871.89	0.00e+00	0.984479	0.571429
5-7	5	55848912	55849062	-	21672.5	0.998	447.000000	58706.00	0.00e+00	1.000000	0.000000
2-4	2	9417709	9417859	-	20799.8	0.998	429.000000	14085.50	0.00e+00	0.997669	0.000000
6-4	6	135033687	135033837	+	20751.3	0.998	430.000000	5621.07	0.00e+00	1.000000	0.000000
10-6	10	100398894	100399044	+	20460.4	0.998	422.000000	55422.67	0.00e+00	1.000000	0.000000
1-9	1	161551533	161551683	-	20363.4	0.998	420.000000	55160.00	0.00e+00	1.000000	0.000000
1-10	1	63049554	63049704	+	19878.6	0.998	410.000000	53846.67	0.00e+00	1.000000	0.000000
7-5	7	128478287	128478437	+	19296.8	0.997	398.000000	52270.67	0.00e+00	1.000000	0.000000
8-6	8	159495191	159495341	-	19151.3	0.997	395.000000	8646.11	0.00e+00	1.000000	0.000000
9-4	9	7178138	7178288	+	18569.5	0.997	383.000000	50300.67	0.00e+00	1.000000	0.000000
8-7	8	169732607	169732757	-	17842.3	0.997	368.000000	24165.33	0.00e+00	1.000000	0.000000
8-8	8	775847	775997	-	17308.9	0.997	357.000000	46886.00	0.00e+00	1.000000	0.000000
2-5	2	3235402	3235552	+	17115.0	0.997	353.000000	5795.08	0.00e+00	1.000000	0.000000
6-5	6	124985530	124985680	+	16921.0	0.943	351.000000	2864.71	0.00e+00	0.934097	0.826087
10-7	10	72325475	72325625	-	16775.6	0.997	346.000000	45441.33	0.00e+00	1.000000	0.000000
10-8	10	112010021	112010171	+	16533.2	0.997	341.000000	44784.67	0.00e+00	1.000000	0.000000
6-6	6	141409983	141410133	-	15999.8	0.997	330.000000	43340.00	0.00e+00	1.000000	0.000000
4-2	4	174073337	174073487	+	15757.4	0.997	325.000000	10670.83	0.00e+00	1.000000	0.000000
8-9	8	149548258	149548408	-	15272.6	0.997	315.000000	41370.00	0.00e+00	1.000000	0.000000
6-7	6	119034331	119034481	+	15224.1	0.997	314.000000	41238.67	0.00e+00	1.000000	0.000000
2-6	2	138619906	138620056	-	14933.2	0.994	308.000000	40450.67	0.00e+00	0.993506	0.000000
5-8	5	144013174	144013324	+	14593.8	0.997	301.000000	39531.33	0.00e+00	1.000000	0.000000
7-6	7	11146980	11147130	+	14205.9	0.997	293.000000	19240.33	0.00e+00	1.000000	0.000000
5-9	5	150230454	150230604	-	13915.0	0.997	287.000000	37692.67	0.00e+00	1.000000	0.000000
7-7	7	29037663	29037813	+	13915.0	0.997	287.000000	37692.67	0.00e+00	1.000000	0.000000
5-10	5	210100135	210100285	-	13721.1	0.996	283.000000	18583.67	0.00e+00	1.000000	0.000000
3-6	3	141934985	141935135	+	13527.1	0.996	279.000000	36642.00	0.00e+00	1.000000	0.000000
1-11	1	242931273	242931423	+	13284.7	0.996	274.000000	35985.33	0.00e+00	1.000000	0.000000
6-8	6	62617171	62617321	+	13187.8	0.996	272.000000	1116.33	0.00e+00	1.000000	0.000000
3-7	3	115772837	115772987	+	12605.9	0.996	260.000000	34146.67	0.00e+00	1.000000	0.000000
9-5	9	36957964	36958114	-	12266.5	0.996	253.000000	33227.33	0.00e+00	1.000000	0.000000
10-9	10	32542783	32542933	+	12169.6	0.996	251.000000	32964.67	0.00e+00	1.000000	0.000000
7-8	7	141163661	141163811	-	12121.1	0.944	250.000000	32833.33	0.00e+00	0.980000	0.600000
3-8	3	51207411	51207561	+	12024.1	0.996	248.000000	32570.67	0.00e+00	1.000000	0.000000
6-9	6	111258189	111258339	+	12024.1	0.996	248.000000	32570.67	0.00e+00	1.000000	0.000000
1-12	1	300524330	300524480	-	11927.2	0.996	246.000000	734.27	0.00e+00	1.000000	0.000000
7-9	7	2785457	2785607	+	11878.7	0.996	245.000000	16088.33	0.00e+00	1.000000	0.000000
5-11	5	69154592	69154742	-	11587.8	0.996	239.000000	31388.67	0.00e+00	0.995816	1.000000
6-10	6	144176657	144176807	+	11490.8	0.996	237.000000	7781.50	0.00e+00	1.000000	0.000000
5-12	5	125329991	125330141	-	11248.4	0.996	232.000000	30469.33	0.00e+00	1.000000	0.000000
10-10	10	87943787	87943937	+	11054.4	0.996	228.000000	29944.00	0.00e+00	1.000000	0.000000
3-9	3	59815499	59815649	+	11054.4	0.978	228.000000	29944.00	0.00e+00	0.982456	1.000000
2-7	2	186955424	186955574	-	10860.5	0.996	224.000000	14709.33	0.00e+00	1.000000	0.000000
8-10	8	62458206	62458356	-	10860.5	0.996	224.000000	29418.67	0.00e+00	1.000000	0.000000
2-8	2	19644150	19644300	+	10618.1	0.995	219.000000	28762.00	0.00e+00	1.000000	0.000000
7-10	7	17191123	17191273	+	10618.1	0.982	223.000000	1027.21	0.00e+00	0.986301	0.666667
scaffold_303-1	scaffold_303	944	981	+	10569.6	0.995	218.000000	28630.67	0.00e+00	1.000000	0.000000
7-11	7	16283559	16283709	-	10521.1	0.995	217.000000	28499.33	0.00e+00	1.000000	0.000000
7-12	7	172613730	172613880	+	10521.1	0.995	217.000000	3562.42	0.00e+00	1.000000	0.000000
1-13	1	290544822	290544972	+	10472.6	0.926	216.000000	4728.00	0.00e+00	1.000000	0.000000
6-11	6	31869520	31869670	-	10472.6	0.995	216.000000	7092.00	0.00e+00	1.000000	0.000000
7-13	7	34006061	34006211	+	10472.6	0.995	216.000000	28368.00	0.00e+00	1.000000	0.000000
5-13	5	14484983	14485133	+	10424.1	0.995	215.000000	28236.67	0.00e+00	1.000000	0.000000
3-10	3	194106468	194106618	+	10181.7	0.995	210.000000	27580.00	0.00e+00	1.000000	0.000000
9-6	9	19620698	19620848	+	10133.2	0.995	209.000000	27448.67	0.00e+00	1.000000	0.000000
1-14	1	157515992	157516142	-	9987.8	0.995	206.000000	27054.67	0.00e+00	1.000000	0.000000
7-14	7	168441693	168441843	+	9987.8	0.995	207.000000	901.82	0.00e+00	1.000000	0.000000
2-9	2	173847099	173847249	+	9939.3	0.995	205.000000	26923.33	0.00e+00	1.000000	0.000000
6-12	6	115728328	115728478	-	9939.3	0.995	205.000000	26923.33	0.00e+00	1.000000	0.000000
1-15	1	129702266	129702416	-	9842.3	0.995	203.000000	26660.67	0.00e+00	1.000000	0.000000
6-13	6	150863987	150864137	+	9793.8	0.995	202.000000	26529.33	0.00e+00	1.000000	0.000000
4-3	4	45150816	45150966	-	9648.4	0.995	201.000000	6533.83	0.00e+00	1.000000	0.000000
5-14	5	3057368	3057518	+	9406.0	0.995	194.000000	2547.87	0.00e+00	1.000000	0.000000
10-11	10	95056603	95056753	-	9309.0	0.974	192.000000	25216.00	0.00e+00	0.979167	0.250000
5-15	5	214215175	214215325	+	9309.0	0.964	192.000000	840.53	0.00e+00	0.963542	0.571429
6-14	6	131986717	131986867	+	9309.0	0.995	192.000000	4202.67	0.00e+00	1.000000	0.000000
6-15	6	55454992	55455142	+	9018.1	0.995	186.000000	24428.00	0.00e+00	1.000000	0.000000
10-12	10	86428256	86428406	+	8727.2	0.994	184.000000	55.49	1.92e-239	1.000000	0.000000
8-11	8	5330986	5331136	-	8678.7	0.994	179.000000	23508.67	0.00e+00	1.000000	0.000000
8-12	8	102054013	102054163	+	8678.7	0.994	179.000000	11754.33	0.00e+00	0.659218	1.000000
2-10	2	47307981	47308131	-	8630.2	0.994	178.000000	23377.33	0.00e+00	1.000000	0.000000
4-4	4	184114273	184114423	+	8630.2	0.978	179.000000	5844.33	0.00e+00	0.983146	1.000000
5-16	5	167054721	167054871	+	8581.7	0.994	177.000000	23246.00	0.00e+00	1.000000	0.000000
6-16	6	156744950	156745100	+	8581.7	0.949	177.000000	11623.00	0.00e+00	0.988701	1.000000
8-13	8	86097744	86097894	-	8581.7	0.994	177.000000	23246.00	0.00e+00	1.000000	0.000000
7-15	7	14600539	14600689	-	8533.3	0.994	176.000000	23114.67	0.00e+00	1.000000	0.000000
8-14	8	128609299	128609449	-	8533.3	0.994	176.000000	23114.67	0.00e+00	1.000000	0.000000
3-11	3	160625672	160625822	-	8387.8	0.994	173.000000	22720.67	0.00e+00	1.000000	0.000000
2-11	2	173431646	173431796	+	8339.3	0.994	172.000000	22589.33	0.00e+00	0.947674	0.000000
5-17	5	1829055	1829205	-	8339.3	0.983	172.000000	11294.67	0.00e+00	0.988372	0.000000
7-16	7	164793344	164793494	+	8145.4	0.994	168.000000	22064.00	0.00e+00	1.000000	0.000000
3-12	3	28921779	28921929	-	8096.9	0.994	167.000000	3655.44	0.00e+00	1.000000	0.000000
3-13	3	193387257	193387407	-	8096.9	0.994	167.000000	21932.67	0.00e+00	1.000000	0.000000
8-15	8	36211493	36211643	+	8096.9	0.994	167.000000	21932.67	0.00e+00	1.000000	0.000000
1-17	1	34899549	34899699	-	7999.9	0.994	165.000000	21670.00	0.00e+00	1.000000	0.000000
1-16	1	164386115	164386265	-	7999.9	0.994	166.000000	3611.67	0.00e+00	1.000000	0.000000
7-17	7	110595851	110596001	-	7951.4	0.994	164.000000	21538.67	0.00e+00	1.000000	0.000000
10-13	10	127388644	127388794	+	7903.0	0.994	163.000000	2675.92	0.00e+00	1.000000	0.000000
9-7	9	39548522	39548672	-	7903.0	0.994	163.000000	21407.33	0.00e+00	1.000000	0.000000
5-18	5	105045605	105045755	+	7854.5	0.994	162.000000	21276.00	0.00e+00	1.000000	0.000000
9-8	9	149812403	149812553	-	7854.5	0.994	162.000000	21276.00	0.00e+00	1.000000	0.000000
4-5	4	191472334	191472484	-	7563.6	0.994	158.000000	3414.67	0.00e+00	1.000000	0.000000
4-6	4	212781805	212781955	+	7563.6	0.994	156.000000	20488.00	0.00e+00	1.000000	0.000000
4-7	4	187218188	187218338	-	7515.1	0.994	155.000000	20356.67	0.00e+00	1.000000	0.000000
1-18	1	26914059	26914209	+	7418.1	0.994	153.000000	233.65	1.91e-298	1.000000	0.000000
3-14	3	128659757	128659907	-	7272.7	0.993	150.000000	19700.00	0.00e+00	1.000000	0.000000
8-16	8	141706941	141707091	-	7272.7	0.993	150.000000	9850.00	0.00e+00	1.000000	0.000000
2-12	2	183309739	183309889	+	7224.2	0.993	149.000000	19568.67	0.00e+00	1.000000	0.000000
3-15	3	161629764	161629914	+	7175.7	0.993	148.000000	9718.67	0.00e+00	1.000000	0.000000
5-19	5	144013095	144013245	-	7175.7	0.993	148.000000	3239.56	0.00e+00	1.000000	0.000000
7-18	7	125689276	125689426	-	7175.7	0.993	148.000000	19437.33	0.00e+00	1.000000	0.000000
9-9	9	101685496	101685646	-	7175.7	0.993	148.000000	19437.33	0.00e+00	1.000000	0.000000
8-18	8	62052577	62052727	-	6981.8	0.993	144.000000	18912.00	0.00e+00	0.993056	1.000000
1-19	1	41249699	41249849	-	6933.3	0.993	143.000000	18780.67	0.00e+00	1.000000	0.000000
4-9	4	224775354	224775504	-	6933.3	0.993	143.000000	18780.67	0.00e+00	1.000000	0.000000
7-19	7	17191438	17191588	-	6933.3	0.993	143.000000	18780.67	0.00e+00	1.000000	0.000000
3-16	3	45712766	45712916	-	6884.8	0.622	142.000000	9324.67	0.00e+00	0.626761	0.264151
8-19	8	144618222	144618372	-	6884.8	0.993	142.000000	18649.33	0.00e+00	1.000000	0.000000
4-10	4	240772462	240772612	+	6787.8	0.993	140.000000	18386.67	0.00e+00	1.000000	0.000000
8-17	8	148795367	148795517	-	6787.8	0.660	147.000000	540.78	4.94e-324	0.659574	0.937500
5-20	5	206961979	206962129	-	6593.9	0.993	136.000000	17861.33	0.00e+00	1.000000	0.000000
1-20	1	167216743	167216893	+	6545.4	0.993	135.000000	17730.00	0.00e+00	1.000000	0.000000
4-8	4	152459549	152459699	-	6545.4	0.853	154.000000	94.31	9.63e-211	0.903704	0.307692
5-21	5	130696994	130697144	+	6545.4	0.993	135.000000	1773.00	0.00e+00	0.992593	1.000000
7-20	7	174371622	174371772	-	6448.4	0.993	133.000000	8733.67	0.00e+00	1.000000	0.000000
4-11	4	6392170	6392320	-	6351.5	0.992	131.000000	17204.67	0.00e+00	1.000000	0.000000
5-22	5	88598386	88598536	-	6351.5	0.992	131.000000	17204.67	0.00e+00	1.000000	0.000000
4-12	4	2413243	2413393	+	6303.0	0.992	130.000000	17073.33	0.00e+00	1.000000	0.000000
5-23	5	1591989	1592139	+	6109.0	0.992	126.000000	16548.00	0.00e+00	1.000000	0.000000
5-24	5	154329329	154329479	-	6109.0	0.992	126.000000	8274.00	0.00e+00	1.000000	0.000000
10-14	10	86430709	86430859	+	6060.5	0.961	135.000000	30.63	2.07e-135	0.746032	0.062500
8-20	8	150874190	150874340	+	6060.5	0.992	125.000000	4104.17	0.00e+00	1.000000	0.000000
8-21	8	26356472	26356622	+	5915.1	0.992	122.000000	8011.33	0.00e+00	1.000000	0.000000
5-25	5	60205750	60205900	+	5866.6	0.992	121.000000	15891.33	0.00e+00	1.000000	0.000000
1-21	1	161723648	161723798	+	5818.1	0.992	120.000000	7880.00	0.00e+00	1.000000	0.000000
scaffold_17-1	scaffold_17	1415	1452	-	5818.1	0.992	120.000000	15760.00	0.00e+00	1.000000	0.000000
4-13	4	83388019	83388169	-	5769.6	0.992	119.000000	15628.67	0.00e+00	1.000000	0.000000
5-26	5	3953165	3953315	+	5672.7	0.992	117.000000	15366.00	0.00e+00	0.931624	1.000000
1-22	1	112742501	112742651	-	5624.2	0.991	116.000000	15234.67	0.00e+00	1.000000	0.000000
9-10	9	141729841	141729991	-	5624.2	0.991	116.000000	1523.47	5.07e-321	1.000000	0.000000
1-23	1	10540904	10541054	+	5575.7	0.983	115.000000	1078.81	4.78e-301	0.991304	1.000000
2-13	2	36499867	36500017	-	5575.7	0.991	115.000000	15103.33	0.00e+00	1.000000	0.000000
2-14	2	71744239	71744389	-	5575.7	0.991	115.000000	15103.33	0.00e+00	1.000000	0.000000
2-15	2	216071545	216071695	-	5575.7	0.974	115.000000	7551.67	0.00e+00	0.982609	0.000000
5-27	5	168372342	168372492	-	5527.2	0.991	114.000000	14972.00	0.00e+00	1.000000	0.000000
7-21	7	33389779	33389929	-	5527.2	0.591	117.000000	1069.43	5.15e-298	0.591304	0.042553
1-24	1	179342891	179343041	-	5430.3	0.991	112.000000	14709.33	0.00e+00	1.000000	0.000000
7-22	7	165837390	165837540	+	5381.8	0.991	111.000000	3644.50	0.00e+00	1.000000	0.000000
9-11	9	155725700	155725850	-	5381.8	0.518	112.000000	3644.50	0.00e+00	0.558559	0.020408
5-28	5	111377503	111377653	+	5333.3	0.991	110.000000	14446.67	0.00e+00	1.000000	0.000000
6-17	6	160741425	160741575	-	5333.3	0.991	110.000000	7223.33	0.00e+00	1.000000	0.000000
2-16	2	198255221	198255371	-	5187.8	0.991	107.000000	14052.67	0.00e+00	1.000000	0.000000
3-17	3	143889258	143889408	-	5187.8	0.991	107.000000	702.63	2.45e-260	1.000000	0.000000
6-18	6	135185553	135185703	+	5139.3	0.991	106.000000	13921.33	0.00e+00	1.000000	0.000000
9-12	9	83853632	83853782	+	5139.3	0.991	106.000000	13921.33	0.00e+00	1.000000	0.000000
2-17	2	101808861	101809011	+	5090.9	0.991	106.000000	6895.00	0.00e+00	1.000000	0.000000
3-18	3	41404439	41404589	-	5042.4	0.990	104.000000	6829.33	0.00e+00	1.000000	0.000000
4-15	4	194518958	194519108	-	5042.4	0.990	104.000000	3414.67	0.00e+00	1.000000	0.000000
5-29	5	185551703	185551853	+	5042.4	0.990	104.000000	6829.33	0.00e+00	1.000000	0.000000
1-25	1	286440593	286440743	+	4993.9	0.990	103.000000	13527.33	0.00e+00	1.000000	0.000000
9-13	9	115583067	115583217	+	4993.9	0.990	103.000000	13527.33	0.00e+00	1.000000	0.000000
4-14	4	3053093	3053243	-	4945.4	0.990	107.000000	669.80	3.82e-246	1.000000	0.000000
4-16	4	133027767	133027917	-	4945.4	0.990	102.000000	13396.00	0.00e+00	1.000000	0.000000
6-19	6	109456032	109456182	+	4945.4	0.990	102.000000	6698.00	0.00e+00	1.000000	0.000000
7-23	7	46588410	46588560	+	4896.9	0.990	101.000000	13264.67	0.00e+00	1.000000	0.000000
3-19	3	136365282	136365432	-	4848.4	0.990	100.000000	3283.33	2.43e-310	1.000000	0.000000
1-26	1	258507487	258507637	+	4800.0	0.980	99.000000	13002.00	0.00e+00	0.989899	1.000000
3-20	3	180252517	180252667	+	4751.5	0.990	98.000000	715.04	2.41e-239	1.000000	0.000000
10-15	10	83684469	83684619	+	4703.0	0.990	97.000000	12739.33	0.00e+00	1.000000	0.000000
3-21	3	9581920	9582070	+	4703.0	0.990	97.000000	12739.33	0.00e+00	1.000000	0.000000
3-22	3	23212844	23212994	-	4703.0	0.990	97.000000	3184.83	8.34e-300	1.000000	0.000000
4-17	4	64520299	64520449	-	4703.0	0.980	97.000000	12739.33	0.00e+00	1.000000	0.000000
7-24	7	160635143	160635293	-	4703.0	0.990	97.000000	12739.33	0.00e+00	1.000000	0.000000
6-20	6	164987890	164988040	-	4654.5	0.990	96.000000	12608.00	0.00e+00	1.000000	0.000000
1-27	1	219177173	219177323	-	4606.0	0.990	95.000000	12476.67	0.00e+00	1.000000	0.000000
3-24	3	172714646	172714796	+	4606.0	0.990	95.000000	6238.33	2.14e-321	1.000000	0.000000
5-30	5	125899812	125899962	-	4606.0	0.990	95.000000	12476.67	0.00e+00	1.000000	0.000000
1-28	1	246726293	246726443	+	4557.5	0.990	94.000000	12345.33	0.00e+00	1.000000	0.000000
2-18	2	131377721	131377871	-	4557.5	0.989	94.000000	3086.33	2.61e-289	1.000000	0.000000
3-23	3	166854260	166854410	+	4557.5	0.968	95.000000	2057.56	9.18e-273	0.978723	1.000000
9-14	9	154107416	154107566	-	4557.5	0.989	94.000000	12345.33	0.00e+00	0.989362	0.000000
3-25	3	147976820	147976970	-	4509.0	0.989	93.000000	12214.00	0.00e+00	1.000000	0.000000
1-29	1	49738160	49738310	-	4460.6	0.989	92.000000	2013.78	3.84e-266	1.000000	0.000000
4-18	4	189335205	189335355	+	4460.6	0.989	92.000000	12082.67	0.00e+00	1.000000	0.000000
1-30	1	99855737	99855887	-	4412.1	0.989	91.000000	5975.67	3.05e-306	1.000000	0.000000
2-19	2	42590615	42590765	-	4412.1	0.978	91.000000	11951.33	0.00e+00	1.000000	0.000000
4-19	4	209563148	209563298	+	4412.1	0.989	91.000000	11951.33	0.00e+00	1.000000	0.000000
3-27	3	166467316	166467466	+	4363.6	0.989	90.000000	11820.00	0.00e+00	1.000000	0.000000
8-22	8	12783746	12783896	+	4363.6	0.989	90.000000	11820.00	0.00e+00	1.000000	0.000000
9-15	9	109327461	109327611	-	4363.6	0.989	90.000000	454.62	2.73e-202	1.000000	0.000000
1-31	1	93919310	93919460	+	4315.1	0.989	89.000000	11688.67	0.00e+00	1.000000	0.000000
3-28	3	148007935	148008085	+	4315.1	0.722	89.000000	2922.17	6.56e-272	0.707865	0.038462
3-26	3	210588825	210588975	+	4315.1	0.883	93.000000	730.54	2.29e-218	0.797753	0.666667
4-20	4	177405953	177406103	-	4315.1	0.989	89.000000	11688.67	0.00e+00	1.000000	0.000000
5-31	5	168712541	168712691	+	4315.1	0.989	89.000000	1168.87	1.64e-236	1.000000	0.000000
1-32	1	92880947	92881097	-	4218.1	0.989	87.000000	5713.00	3.64e-291	1.000000	0.000000
10-16	10	62067457	62067607	-	4218.1	0.989	87.000000	11426.00	2.37e-317	1.000000	0.000000
2-20	2	24929235	24929385	-	4218.1	0.989	87.000000	11426.00	2.37e-317	1.000000	0.000000
2-21	2	199228160	199228310	-	4218.1	0.989	87.000000	11426.00	2.37e-317	1.000000	0.000000
4-21	4	183940010	183940160	+	4218.1	0.989	87.000000	11426.00	2.37e-317	1.000000	0.000000
5-32	5	217668632	217668782	+	4121.2	0.988	85.000000	11163.33	3.06e-309	1.000000	0.000000
9-16	9	14552960	14553110	-	4121.2	0.988	85.000000	5581.67	1.17e-283	0.976471	1.000000
9-17	9	77543704	77543854	-	4072.7	0.988	84.000000	11032.00	3.41e-305	1.000000	0.000000
1-33	1	152831738	152831888	+	3975.7	0.988	82.000000	10769.33	4.10e-297	1.000000	0.000000
2-22	2	121391991	121392141	+	3975.7	0.988	82.000000	10769.33	4.10e-297	1.000000	0.000000
2-23	2	186257359	186257509	-	3975.7	0.988	82.000000	10769.33	4.10e-297	1.000000	0.000000
7-25	7	50385079	50385229	-	3975.7	0.988	82.000000	10769.33	4.10e-297	1.000000	0.000000
9-18	9	147805374	147805524	-	3975.7	0.976	82.000000	10769.33	4.10e-297	0.987805	1.000000
4-22	4	188230386	188230536	+	3927.2	0.988	81.000000	10638.00	4.42e-293	1.000000	0.000000
2-24	2	220813138	220813288	-	3878.8	0.988	80.000000	2626.67	6.71e-241	1.000000	0.000000
3-29	3	148074533	148074683	+	3781.8	0.987	78.000000	5122.00	1.54e-257	1.000000	0.000000
6-21	6	158020226	158020376	+	3733.3	0.987	77.000000	5056.33	7.87e-254	1.000000	0.000000
1-35	1	92797753	92797903	-	3636.3	0.961	75.000000	4925.00	1.99e-246	1.000000	0.000000
4-23	4	169467574	169467724	-	3636.3	0.987	75.000000	9850.00	5.30e-269	1.000000	0.000000
8-23	8	9439255	9439405	+	3587.8	0.987	74.000000	9718.67	5.22e-265	1.000000	0.000000
10-17	10	2631710	2631860	-	3539.4	0.986	73.000000	4793.67	4.75e-239	1.000000	0.000000
5-33	5	122721634	122721784	+	3539.4	0.986	73.000000	9587.33	5.07e-261	1.000000	0.000000
1-36	1	234100018	234100168	-	3490.9	0.986	72.000000	9456.00	4.86e-257	1.000000	0.000000
